Title: Mg II Absorbers in High-Resolution Quasar Spectra. I. Voigt Profile Models 
Authors: Churchill C.W., Evans J.L., Stemock B., Nielsen N.M., Kacprzak G.G., 
    Murphy M.T. 
Table: List of QSO spectra
================================================================================
Byte-by-byte Description of file: apjabbb34t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---        QSO     QSO name in J2000 format
  18- 43 A26    ---        NED     QSO name resolved in NED (https://ned.ipac.caltech.edu)
  45- 69 A25    ---        Simbad  QSO name resolved in Simbad (http://simbad.u-strasbg.fr/simbad/)
  71- 75 F5.3   ---        zem     QSO emission redshift
  77- 80 I4     0.1nm      wmin    QSO spectrum minimum wavelength, (angstroms)
  82- 86 I5     0.1nm      wmax    QSO spectrum maximum wavelength, (angstroms)
  88- 97 A10    ---        Fac     QSO spectrum observation facility 
J033900-013318   PKS 0336-017               PKS 0336-017              3.197 4318  6767 HIRES      
J034943-381030   [HB89] 0347-383            QSO B0347-383             3.205 3291 10086 HIRES+UVES 
J035405-272421   UM 684                     UM 684                    2.819 3283  6811 UVES       
J040356-170324   BR 0401-1711               BR B0401-1711             4.227 5130  7573 HIRES      
J040718-441013   CTS 0247                   CTS C29.01                3.0   3290 10087 UVES       
J042214-384452   [HB89] 0420-388            QSO B0420-388             3.11  3291 10087 UVES       
J042315-012033   PKS 0420-01                PKS 0420-014              0.916 3810  6277 HIRES      
J042353-261801   WISEA J042353.96-261801.1  HE 0421-2624              2.277 3283  6652 UVES       
J042408+020425   [HB89] 0421+019            PKS 0421+019              2.055 3323  4872 HIRES      
J042707-130253   [HB89] 0424-131            PKS 0424-13               2.159 3284  6811 UVES       
J043037-485523   CTS 0512                   CTS G30.01                1.94  3040 10086 UVES       
J043038-133546   H 0428-1342                QSO B0428-1342            3.2   4382  6782 HIRES      
J044017-433308   [HB89] 0438-436            PKS 0438-43               2.863 3047 10087 UVES       
J044026-163234   [HB89] 0438-166            QSO B0438-1638            1.965 3064  6651 UVES       
J044117-431343   [HB89] 0439-433            PKS 0439-433              0.593 3753 10087 UVES       
J045142-132033   H 0449-1325                QSO B0449-1326            3.1   3679  6629 HIRES      
